x1,x2,d,y,e,membership_function
-1,-1,8,7.9981081,3.6e-06,gaussmf
-1,-1,7.8392001,7.8417035,6.3e-06,gaussmf
-1,-1,7.6800326,7.6861884,3.79e-05,gaussmf
-1,-0.979798,7.5224977,7.531625,8.33e-05,gaussmf
-1,-0.979798,7.3665952,7.3780751,0.0001318,gaussmf
-1,-0.979798,7.2123253,7.2255991,0.0001762,gaussmf
-1,-0.959596,7.0596878,7.0742563,0.0002122,gaussmf
-1,-0.959596,6.9086828,6.9241044,0.0002378,gaussmf
-1,-0.959596,6.7593103,6.7751991,0.0002525,gaussmf
-1,-0.9393939,6.6115702,6.6275935,0.0002567,gaussmf
-1,-0.9393939,6.4654627,6.4813376,0.000252,gaussmf
-1,-0.9393939,6.3209877,6.3364777,0.0002399,gaussmf
-1,-0.9191919,6.1781451,6.1930571,0.0002224,gaussmf
-1,-0.9191919,6.036935,6.0511168,0.0002011,gaussmf
-1,-0.9191919,5.8973574,5.9106947,0.0001779,gaussmf
-1,-0.8989899,5.7594123,5.7718263,0.0001541,gaussmf
-1,-0.8989899,5.6230997,5.6345444,0.000131,gaussmf
-1,-0.8989899,5.4884195,5.4988788,0.0001094,gaussmf
-1,-0.8787879,5.3553719,5.3648569,9e-05,gaussmf
-1,-0.8787879,5.2239567,5.2325029,7.3e-05,gaussmf
-1,-0.8787879,5.0941741,5.1018383,5.87e-05,gaussmf
-1,-0.8585859,4.9660239,4.9728817,4.7e-05,gaussmf
-1,-0.8585859,4.8395062,4.8456487,3.77e-05,gaussmf
-1,-0.8585859,4.714621,4.7201523,3.06e-05,gaussmf
-1,-0.8383838,4.5913682,4.5964022,2.53e-05,gaussmf
-1,-0.8383838,4.469748,4.4744059,2.17e-05,gaussmf
-1,-0.8383838,4.3497602,4.3541675,1.94e-05,gaussmf
-1,-0.8181818,4.231405,4.235689,1.84e-05,gaussmf
-1,-0.8181818,4.1146822,4.1189696,1.84e-05,gaussmf
-1,-0.8181818,3.9995919,4.0040061,1.95e-05,gaussmf
-1,-0.7979798,3.8861341,3.8907931,2.17e-05,gaussmf
-1,-0.7979798,3.7743087,3.7793232,2.51e-05,gaussmf
-1,-0.7979798,3.6641159,3.6695871,2.99e-05,gaussmf
-1,-0.7777778,3.5555556,3.5615736,3.62e-05,gaussmf
-1,-0.7777778,3.4486277,3.4552704,4.41e-05,gaussmf
-1,-0.7777778,3.3433323,3.3506639,5.38e-05,gaussmf
-1,-0.7575758,3.2396694,3.2477394,6.51e-05,gaussmf
-1,-0.7575758,3.137639,3.1464816,7.82e-05,gaussmf
-1,-0.7575758,3.0372411,3.046875,9.28e-05,gaussmf
-1,-0.7373737,2.9384757,2.9489037,0.0001087,gaussmf
-1,-0.7373737,2.8413427,2.8525522,0.0001257,gaussmf
-1,-0.7373737,2.7458423,2.7578051,0.0001431,gaussmf
-1,-0.7171717,2.6519743,2.6646479,0.0001606,gaussmf
-1,-0.7171717,2.5597388,2.5730671,0.0001776,gaussmf
-1,-0.7171717,2.4691358,2.48305,0.0001936,gaussmf
-1,-0.6969697,2.3801653,2.3945857,0.0002079,gaussmf
-1,-0.6969697,2.2928273,2.3076645,0.0002201,gaussmf
-1,-0.6969697,2.2071217,2.2222785,0.0002297,gaussmf
-1,-0.6767677,2.1230487,2.1384219,0.0002363,gaussmf
-1,-0.6767677,2.0406081,2.0560904,0.0002397,gaussmf
-1,-0.6767677,1.9598,1.9752821,0.0002397,gaussmf
-1,-0.6565657,1.8806244,1.8959969,0.0002363,gaussmf
-1,-0.6565657,1.8030813,1.818237,0.0002297,gaussmf
-1,-0.6565657,1.7271707,1.7420064,0.0002201,gaussmf
-1,-0.6363636,1.6528926,1.667311,0.0002079,gaussmf
-1,-0.6363636,1.5802469,1.5941588,0.0001935,gaussmf
-1,-0.6363636,1.5092338,1.5225594,0.0001776,gaussmf
-1,-0.6161616,1.4398531,1.4525238,0.0001605,gaussmf
-1,-0.6161616,1.3721049,1.3840646,0.000143,gaussmf
-1,-0.6161616,1.3059892,1.3171953,0.0001256,gaussmf
-1,-0.5959596,1.241506,1.2519306,0.0001087,gaussmf
-1,-0.5959596,1.1786552,1.1882857,9.27e-05,gaussmf
-1,-0.5959596,1.117437,1.1262761,7.81e-05,gaussmf
-1,-0.5757576,1.0578512,1.0659178,6.51e-05,gaussmf
-1,-0.5757576,0.999898,1.0072262,5.37e-05,gaussmf
-1,-0.5757576,0.9435772,0.9502168,4.41e-05,gaussmf
-1,-0.5555556,0.8888889,0.8949041,3.62e-05,gaussmf
-1,-0.5555556,0.8358331,0.8413016,2.99e-05,gaussmf
-1,-0.5555556,0.7844098,0.7894219,2.51e-05,gaussmf
-1,-0.5353535,0.7346189,0.739276,2.17e-05,gaussmf
-1,-0.5353535,0.6864606,0.6908732,1.95e-05,gaussmf
-1,-0.5353535,0.6399347,0.6442209,1.84e-05,gaussmf
-1,-0.5151515,0.5950413,0.5993245,1.83e-05,gaussmf
-1,-0.5151515,0.5517804,0.5561873,1.94e-05,gaussmf
-1,-0.5151515,0.510152,0.5148098,2.17e-05,gaussmf
-1,-0.4949495,0.4701561,0.4751904,2.53e-05,gaussmf
-1,-0.4949495,0.4317927,0.4373246,3.06e-05,gaussmf
-1,-0.4949495,0.3950617,0.4012052,3.77e-05,gaussmf
-1,-0.4747475,0.3599633,0.3668223,4.7e-05,gaussmf
-1,-0.4747475,0.3264973,0.334163,5.88e-05,gaussmf
-1,-0.4747475,0.2946638,0.3032116,7.31e-05,gaussmf
-1,-0.4545455,0.2644628,0.2739496,9e-05,gaussmf
-1,-0.4545455,0.2358943,0.2463554,0.0001094,gaussmf
-1,-0.4545455,0.2089583,0.2204048,0.000131,gaussmf
-1,-0.4343434,0.1836547,0.1960706,0.0001542,gaussmf
-1,-0.4343434,0.1599837,0.1733227,0.0001779,gaussmf
-1,-0.4343434,0.1379451,0.1521285,0.0002012,gaussmf
-1,-0.4141414,0.117539,0.1324525,0.0002224,gaussmf
-1,-0.4141414,0.0987654,0.1142566,0.00024,gaussmf
-1,-0.4141414,0.0816243,0.0975001,0.000252,gaussmf
-1,-0.3939394,0.0661157,0.0821396,0.0002568,gaussmf
-1,-0.3939394,0.0522396,0.0681288,0.0002525,gaussmf
-1,-0.3939394,0.0399959,0.0554177,0.0002378,gaussmf
-1,-0.3737374,0.0293848,0.0439532,0.0002122,gaussmf
-1,-0.3737374,0.0204061,0.0336796,0.0001762,gaussmf
-1,-0.3737374,0.0130599,0.0245393,0.0001318,gaussmf
-1,-0.3535354,0.0073462,0.016473,8.33e-05,gaussmf
-1,-0.3535354,0.003265,0.0094204,3.79e-05,gaussmf
-1,-0.3535354,0.0008162,0.0033197,6.3e-06,gaussmf
-1,-0.3333333,0,-0.0018913,3.6e-06,gaussmf
-1,-0.3333333,8.0399959,8.0348144,2.68e-05,gaussmf
-1,-0.3333333,7.879196,7.8784098,6e-07,gaussmf
-1,-0.3131313,7.7200286,7.7228947,8.2e-06,gaussmf
-1,-0.3131313,7.5624936,7.5683313,3.41e-05,gaussmf
-1,-0.3131313,7.4065912,7.4147814,6.71e-05,gaussmf
-1,-0.2929293,7.2523212,7.2623054,9.97e-05,gaussmf
-1,-0.2929293,7.0996837,7.1109626,0.0001272,gaussmf
-1,-0.2929293,6.9486787,6.9608107,0.0001472,gaussmf
-1,-0.2727273,6.7993062,6.8119053,0.0001587,gaussmf
-1,-0.2727273,6.6515662,6.6642998,0.0001621,gaussmf
-1,-0.2727273,6.5054586,6.5180439,0.0001584,gaussmf
-1,-0.2525253,6.3609836,6.3731839,0.0001488,gaussmf
-1,-0.2525253,6.218141,6.2297634,0.0001351,gaussmf
-1,-0.2525253,6.0769309,6.0878231,0.0001186,gaussmf
-1,-0.2323232,5.9373533,5.947401,0.000101,gaussmf
-1,-0.2323232,5.7994082,5.8085326,8.33e-05,gaussmf
-1,-0.2323232,5.6630956,5.6712506,6.65e-05,gaussmf
-1,-0.2121212,5.5284155,5.5355851,5.14e-05,gaussmf
-1,-0.2121212,5.3953678,5.4015632,3.84e-05,gaussmf
-1,-0.2121212,5.2639527,5.2692092,2.76e-05,gaussmf
-1,-0.1919192,5.13417,5.1385445,1.91e-05,gaussmf
-1,-0.1919192,5.0060198,5.0095879,1.27e-05,gaussmf
